transactionId,transactionHash,date,market,makerOrTaker,buyOrSell,tokenAmount,etherAmount,usdValue,fee,gasFee,feesPaidIn
3739658,0x4380075698108b537011648fc5b3aa9d43f37c9fd684a9fa41754318e3f73a76,2019-05-07 11:21:14,AUC/ETH,maker,buy,2607,0.185097,32.50,2.607,N/A,AUC
3512942,0x16d0c5726553a0a5bb3c1d66fdd2df251b67a3acdade036c287eb75ee8262b00,2019-04-02 18:43:34,AUC/ETH,maker,buy,59625,4.77,741.20,59.625,N/A,AUC
3512940,0xd2108a55aae08e575effea60e5b57e4d4667a72d89a6b3a134431165f0f948d5,2019-04-02 18:43:28,AUC/ETH,maker,buy,17128.58926342,1.372,213.19,17.128589263420724095,N/A,AUC
3353408,0x7902bb2b43962b8aa302cd08d6a4f655dfc039d444e6f1526597bc3e6f43d5e9,2019-03-09 17:34:58,AUC/ETH,maker,buy,60063.41919192,5.9462785,812.26,60.063419191919191919,N/A,AUC
3162716,0x99bc7ea1bf66b4c014103e63e775d684787be853c2efc51d443ef74d2bd6a0d5,2019-02-01 16:36:15,AUC/ETH,maker,buy,48113.96339633,4.90762427,518.95,48.113963396334254347,N/A,AUC
3161838,0x2ebcb1fdbc0bdff2d29da516ee74db5514e6df2f41d6fc02590648a985a10600,2019-02-01 11:26:41,AUC/ETH,taker,buy,5002.61142425,0.50716761,53.13,10.005222848504257973,26.829598032957948811,AUC
3161837,0xac13b6956f55948b4e1c897f184a372ddae77f8e5a264d340fb35a18cac4d0c4,2019-02-01 11:26:41,AUC/ETH,taker,buy,1523.26650635,0.15442963,16.18,3.0465330127047,26.829598032957742572,AUC
3161836,0xbbe1c76053a0ea931f1211c2ac8fb1f4a9cd6d2b6813b517cad921076e56d681,2019-02-01 11:26:41,AUC/ETH,taker,buy,7193.49200639,0.73,76.47,14.3869840127892,26.803148297799050538,AUC
2961823,0x43b8c193fb858b0e7f10243c1e0fea70492b4311708856f81c7aaddd2131d9e9,2018-12-10 15:20:17,AUC/ETH,maker,buy,29608.79863104,5.24075736,476.72,29.608798631037045684,N/A,AUC
2961741,0x56f0226317728429a5fa67ae5c775079f739268a8d0c7448313e673a3bf1b682,2018-12-10 14:56:51,AUC/ETH,maker,buy,1994.93201658,0.35310297,31.86,1.994932016579638647,N/A,AUC
2961704,0x38d8ace3a653523153b42122a831d92c712bc067cddd3138420c872ca16317a3,2018-12-10 14:47:37,AUC/ETH,maker,buy,328.47274221,0.05813968,5.25,0.328472742213824144,N/A,AUC
2905677,0x857bb73b5911cf50532c50027c3ff26430393b1ec90f3a66c69b5df9bef3c0d7,2018-11-29 18:33:05,AUC/ETH,maker,buy,20023.47417840,4.265,505.12,20.023474178403755869,N/A,AUC
2865366,0x1f72d740b310fc436307bef150dacd1cec2b7bc3da1d5c73973714a4ca844679,2018-11-20 22:13:33,AUC/ETH,maker,buy,6783.15584425,1.28201645,168.71,6.783155844245577804,N/A,AUC
2865180,0xb5ea0ebb2ab1921e4510355f965050d3482f89a8346e1cd0369fdb0158998e06,2018-11-20 21:47:33,AUC/ETH,maker,buy,4067.57838856,0.76877232,104.06,4.067578388558655,N/A,AUC
2620251,0xd36cacc1c4fa6c6a852521a38f6f87237065102a1d4c26cece1d3ad1061fd768,2018-10-19 23:34:02,AUC/ETH,maker,buy,9328.65399991,1.41795541,282.82,9.328653999911733176,N/A,AUC
2620243,0xd0152e242433b469e51b7c49353b5d3654a77985ab214356ac0022938ea8f0fd,2018-10-19 23:31:31,AUC/ETH,maker,buy,546.71252401,0.08310030,16.58,0.546712524006029736,N/A,AUC
2612860,0x86c2864e0d814f04b1408d0f155e7c1c9f91a10c2b2a687c3285c165d7939349,2018-10-19 00:09:13,AUC/ETH,maker,buy,645.81263158,0.09816352,19.46,0.645812631578947372,N/A,AUC
2610408,0xca77acab6daef89b8243589225ca15a8538f32cecdb5b79f509a8e2e728557d2,2018-10-18 16:44:22,AUC/ETH,taker,buy,1998,0.31087641,62.73,3.995999999999999384,27.31471296680440955,AUC
2610407,0x714a0e3cc30af3a25b124220f6fc175badc7b073c7b7260fd37d5116698f0a82,2018-10-18 16:44:22,AUC/ETH,taker,buy,3143.54161363,0.48911559,98.69,6.287083227258731807,27.31471296680422852,AUC
2470525,0xc996b71ef305c5cb13c024655d3416e79c500781bda81f97e55efa532a723707,2018-09-27 17:22:40,AUC/ETH,maker,buy,14954.27726900,2.84131268,621.76,14.954277269001511853,N/A,AUC
2470520,0x4ba7803a4715a08292a0229dccd626a466d9ddecea03e0d7a5d368a662a6f94d,2018-09-27 17:21:31,AUC/ETH,maker,buy,13652.56483626,2.59398732,567.64,13.652564836261646042,N/A,AUC
